CMDLINE c:\users\tombr\appdata\local\programs\python\python37-32\python.exe main.py
MEM 0.664062 1562145056.2305
MEM 13.332031 1562145056.3308
MEM 35.492188 1562145056.4310
MEM 41.777344 1562145056.5314
MEM 46.953125 1562145056.6321
MEM 50.203125 1562145056.7326
MEM 50.203125 1562145056.8329
MEM 50.203125 1562145056.9337
MEM 50.203125 1562145057.0343
MEM 50.203125 1562145057.1347
MEM 50.203125 1562145057.2350
MEM 50.203125 1562145057.3353
MEM 50.203125 1562145057.4359
MEM 50.203125 1562145057.5359
MEM 50.203125 1562145057.6361
MEM 50.203125 1562145057.7362
MEM 50.203125 1562145057.8366
MEM 50.203125 1562145057.9366
MEM 50.203125 1562145058.0368
MEM 50.203125 1562145058.1371
MEM 50.203125 1562145058.2379
MEM 50.203125 1562145058.3384
MEM 50.203125 1562145058.4389
MEM 50.203125 1562145058.5392
MEM 50.203125 1562145058.6399
MEM 50.203125 1562145058.7406
MEM 50.265625 1562145058.8409
MEM 50.265625 1562145058.9411
MEM 50.265625 1562145059.0413
MEM 50.265625 1562145059.1415
MEM 50.265625 1562145059.2417
MEM 50.265625 1562145059.3418
MEM 50.265625 1562145059.4420
MEM 50.265625 1562145059.5422
MEM 50.265625 1562145059.6424
MEM 50.265625 1562145059.7426
MEM 50.265625 1562145059.8433
MEM 50.265625 1562145059.9436
MEM 50.265625 1562145060.0437
MEM 50.265625 1562145060.1439
MEM 50.265625 1562145060.2441
MEM 50.265625 1562145060.3443
MEM 53.910156 1562145060.4451
MEM 60.824219 1562145060.5454
MEM 61.210938 1562145060.6458
MEM 61.210938 1562145060.7465
MEM 61.210938 1562145060.8470
MEM 61.210938 1562145060.9470
MEM 61.210938 1562145061.0476
MEM 61.210938 1562145061.1478
MEM 61.210938 1562145061.2482
MEM 61.210938 1562145061.3488
MEM 61.210938 1562145061.4490
MEM 61.210938 1562145061.5493
MEM 61.210938 1562145061.6503
MEM 61.277344 1562145061.7507
MEM 61.277344 1562145061.8511
MEM 61.277344 1562145061.9514
MEM 61.277344 1562145062.0519
MEM 61.277344 1562145062.1519
MEM 60.125000 1562145062.2522
MEM 63.929688 1562145062.3525
MEM 64.191406 1562145062.4532
MEM 64.191406 1562145062.5538
MEM 64.191406 1562145062.6543
MEM 64.191406 1562145062.7548
MEM 64.191406 1562145062.8552
MEM 62.496094 1562145062.9557
MEM 65.429688 1562145063.0561
MEM 67.050781 1562145063.1561
MEM 67.050781 1562145063.2563
MEM 67.050781 1562145063.3564
MEM 67.050781 1562145063.4574
MEM 67.050781 1562145063.5575
MEM 67.050781 1562145063.6583
MEM 62.652344 1562145063.7584
